Donor,Region
Albania,Europe
Belarus,Europe
Bosnia and Herzegovina,Europe
Croatia,Europe
Cyprus,Europe
Former Yugoslav Republic of Macedonia,Europe
Gibraltar,Europe
Kosovo,Europe
Malta,Europe
"Moldova, Republic of",Europe
Montenegro,Europe
Serbia ,Europe
Slovenia,Europe
States Ex-Yugoslavia,Europe
Turkey,Europe
Ukraine,Europe
Andorra,Europe
Austria,Europe
Belgium,Europe
Bulgaria,Europe
Czech Republic,Europe
Denmark,Europe
Estonia,Europe
European Union,Europe
Faeroe Islands,Europe
Finland,Europe
France,Europe
Germany,Europe
Greece,Europe
Hungary,Europe
Iceland,Europe
Ireland,Europe
Italy,Europe
Latvia,Europe
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Monaco,Europe
Netherlands,Europe
New Zealand,Oceania
Norway,Europe
Poland,Europe
Portugal,Europe
Romania,Europe
Russian Federation,Europe
Slovakia,Europe
Spain,Europe
Sweden,Europe
Switzerland,Europe
United Kingdom,Europe
United Kingdom ,Europe
Brunei Darussalam,Far East Asia
Cambodia,Far East Asia
China,Far East Asia
Chinese Taipei,Far East Asia
"Korea, Democratic People's Republic of",Far East Asia
Hong Kong Special Administrative Region of the People's Republic of China,Far East Asia
Indonesia,Far East Asia
"Korea, Republic of",Far East Asia
Lao (People's Democratic Republic),Far East Asia
"Macau, China",Far East Asia
Malaysia,Far East Asia
Mongolia,Far East Asia
Philippines,Far East Asia
Singapore,Far East Asia
Thailand,Far East Asia
Timor Leste,Far East Asia
Viet Nam,Far East Asia
Japan,Far East Asia
Bahrain,Middle East & North of Sahara
"Iran, Islamic Republic of",Middle East & North of Sahara
Iraq,Middle East & North of Sahara
Israel,Middle East & North of Sahara
Jordan,Middle East & North of Sahara
Kuwait,Middle East & North of Sahara
Lebanon,Middle East & North of Sahara
National Commission for Lebanese Women,Middle East & North of Sahara
Oman,Middle East & North of Sahara
Qatar,Middle East & North of Sahara
Saudi Arabia (Kingdom of),Middle East & North of Sahara
Syrian Arab Republic,Middle East & North of Sahara
United Arab Emirates,Middle East & North of Sahara
"Palestinian territory, occupied",Middle East & North of Sahara
Yemen,Middle East & North of Sahara
Anguilla,North & Central America
Antigua and Barbuda,North & Central America
Aruba,North & Central America
Bahamas,North & Central America
Barbados,North & Central America
Belize,North & Central America
Bermuda,North & Central America
British Virgin Islands,North & Central America
Cayman Islands,North & Central America
Costa Rica,North & Central America
Cuba,North & Central America
Dominica,North & Central America
Dominican Republic,North & Central America
El Salvador,North & Central America
Grenada,North & Central America
Guatemala,North & Central America
Haiti,North & Central America
Honduras,North & Central America
Jamaica,North & Central America
Mexico,North & Central America
Montserrat,North & Central America
Netherlands Antilles,North & Central America
Nicaragua,North & Central America
Panama,North & Central America
Saint Kitts and Nevis,North & Central America
Saint Lucia,North & Central America
Saint Vincent and the Grenadines,North & Central America
Trinidad and Tobago,North & Central America
Turks and Caicos Islands,North & Central America
Canada,North & Central America
Saint Vincent and the Grenadines,North & Central America
United States of America,North & Central America
Algeria,Middle East & North of Sahara
Egypt,Middle East & North of Sahara
Libya,Middle East & North of Sahara
Morocco,Middle East & North of Sahara
Tunisia,Middle East & North of Sahara
Cook Islands,Oceania
Fiji,Oceania
French Polynesia,Oceania
Kiribati,Oceania
Marshall Islands,Oceania
Micronesia,Oceania
Nauru,Oceania
New Caledonia,Oceania
Niue,Oceania
Northern Mariana Islands,Oceania
Palau,Oceania
Papua New Guinea,Oceania
Samoa,Oceania
Solomon Islands,Oceania
Tokelau,Oceania
Tonga,Oceania
Tuvalu,Oceania
Vanuatu,Oceania
Wallis and Futuna,Oceania
Australia,Oceania
Armenia,South & Central Asia
Azerbaijan,South & Central Asia
Bangladesh,South & Central Asia
Bhutan,South & Central Asia
Georgia,South & Central Asia
India,South & Central Asia
Kazakhstan,South & Central Asia
Kyrgyzstan,South & Central Asia
Maldives,South & Central Asia
Myanmar,South & Central Asia
Nepal,South & Central Asia
Pakistan,South & Central Asia
Sri Lanka,South & Central Asia
Tajikistan,South & Central Asia
Turkmenistan,South & Central Asia
Uzbekistan,South & Central Asia
Afghanistan,South & Central Asia
Argentina,South America
Bolivia,South America
Brazil,South America
Chile,South America
Colombia,South America
Ecuador,South America
Falkland Islands (Malvinas),South America
Guyana,South America
Paraguay,South America
Peru,South America
Suriname,South America
Uruguay ,South America
Venezuela,South America
Angola,South Of Sahara
Benin,South Of Sahara
Botswana,South Of Sahara
Burkina Faso,South Of Sahara
Burundi,South Of Sahara
Cape Verde,South Of Sahara
Cameroon,South Of Sahara
Central African Republic,South Of Sahara
Chad,South Of Sahara
Comoros,South Of Sahara
"Congo, Republic of",South Of Sahara
Côte d'Ivoire,South Of Sahara
"Congo, Democratic Republic of the",South Of Sahara
Djibouti,South Of Sahara
Equatorial Guinea,South Of Sahara
Eritrea,South Of Sahara
Ethiopia,South Of Sahara
Gabon,South Of Sahara
Gambia,South Of Sahara
Ghana,South Of Sahara
Guinea,South Of Sahara
Guinea-Bissau,South Of Sahara
Kenya,South Of Sahara
Lesotho,South Of Sahara
Liberia,South Of Sahara
Madagascar,South Of Sahara
Malawi,South Of Sahara
Mali,South Of Sahara
Mauritania,South Of Sahara
Mauritius,South Of Sahara
Mayotte,South Of Sahara
Mozambique,South Of Sahara
Namibia,South Of Sahara
Niger,South Of Sahara
Nigeria,South Of Sahara
Rwanda,South Of Sahara
Saint Helena,South Of Sahara
Sao Tome and Principe,South Of Sahara
Senegal,South Of Sahara
Seychelles,South Of Sahara
Sierra Leone,South Of Sahara
Somalia,South Of Sahara
South Africa,South Of Sahara
Republic of South Sudan,South Of Sahara
Sudan,South Of Sahara
Swaziland,South Of Sahara
"Tanzania, United Republic of",South Of Sahara
Togo,South Of Sahara
Uganda,South Of Sahara
Zambia,South Of Sahara
Zimbabwe,South Of Sahara
Solidarity Organization for Rehabilitation of Afghanistan,South & Central Asia
Holy See,Europe
Cote d'Ivoire,South Of Sahara
Iran,Middle East & North of Sahara
San Marino,Europe
Timor-Leste,Far East Asia
Bosnia & Herzegovina,Europe
"Macedonia, Former Yugoslav Republic of ",Europe
Moldova,Europe
Serbia and Montenegro,Europe
European Commission,Europe
European Commission's Humanitarian Aid and Civil Protection Department,Europe
EU Special Representative,Europe
EU/DFSIS,Europe
European Agency for Reconstruction,Europe
European Commission,Europe
European Commission Civil Protection Mechanism,Europe
European Commission Directorate General for Development,Europe
European Commission EuropeAid Co-operation Office,Europe
European Commission EuropeAid Development and Cooperation,Europe
European Commission Humanitarian Aid Office,Europe
European Commission Rapid Reaction Mechanism,Europe
European Investment Bank,Europe
European Union,Europe
European Union Border Assistance Mission,Europe
European Union Programme Support Unit 1,Europe
European Union Programme Support Unit 2,Europe
MIC EU Civil Protection,Europe
EuropeAid,Europe
European Commission's Humanitarian Aid and Civil Protection Department,Europe
European Centre for Disease Prevention and Control,Europe
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),Europe
European Commission - EU Facility for Refugees in Turkey,Europe
European Commission Directorate-General External Relations,Europe
PEGASE,Europe
Stability Pact,Europe
ECHO DFID contribution,Europe
League of Arab States,Middle East & North Africa
"Congo, Democratic Republic of",South of Sahara
Serbia,Europe
United States Agency for International Development,North & Central America
"Micronesia, Federated States of",Oceania
Puerto Rico,North & Central America
Tanzania,South of Sahara
Centers for Disease Control,North & Central America
"Guatemala General Council in Miami, Florida",North & Central America
Office of the Representative of the Dalai Lama,Far East Asia
Suriname,South America
U.S. Committee for Refugees and Immigrants,North & Central America
"Micronesia, Federated States of",Oceania
Suriname ,South America
Union of South American Nations,South America
union of south american nations,South America
Khazanah Nasional,Far East Asia
Uruguay,South America
